replicate,334_373,334_384,600,ratio,surfactant_1,surfactant_1_ratio,surfactant_2,surfactant_2_ratio,analysis,well_idx,concentration
2,200768.0,296851.0,0.0402,0.6763258334989608,SDS,0.5,NaC,0.5,rough_rough,21,24.826
2,193493.0,284609.0,0.039,0.6798555210833108,SDS,0.5,NaC,0.5,rough_rough,22,33.92
2,150645.0,219083.0,0.0392,0.6876161089632696,SDS,0.5,NaC,0.5,rough_rough,23,46.345
3,136243.0,169153.0,0.0412,0.8054424101257441,SDS,0.5,NaC,0.5,rough_rough,24,1.496
3,137488.0,169054.0,0.0393,0.8132785973712542,SDS,0.5,NaC,0.5,rough_rough,25,2.044
3,145209.0,180235.0,0.0394,0.8056648264765445,SDS,0.5,NaC,0.5,rough_rough,26,2.793
3,140263.0,176083.0,0.04,0.796573206953539,SDS,0.5,NaC,0.5,rough_rough,27,3.816
3,157561.0,203085.0,0.0413,0.7758377034246744,SDS,0.5,NaC,0.5,rough_rough,28,5.214
3,159558.0,215004.0,0.0385,0.7421164257409164,SDS,0.5,NaC,0.5,rough_rough,29,7.124
3,192167.0,276824.0,0.0494,0.6941847527671011,SDS,0.5,NaC,0.5,rough_rough,30,9.734
3,199276.0,291469.0,0.0393,0.6836953501058431,SDS,0.5,NaC,0.5,rough_rough,31,13.299
3,195699.0,286714.0,0.0417,0.6825582287575772,SDS,0.5,NaC,0.5,rough_rough,32,18.17
3,196936.0,291533.0,0.0403,0.6755187234378269,SDS,0.5,NaC,0.5,rough_rough,33,24.826
3,187840.0,276947.0,0.039,0.6782525176297269,SDS,0.5,NaC,0.5,rough_rough,34,33.92
3,146724.0,216036.0,0.0393,0.6791645836804977,SDS,0.5,NaC,0.5,rough_rough,35,46.345
1,171797.0,214091.0,0.0403,0.802448491529303,SDS,0.05,NaC,0.95,fine_fine,0,5.263688372678459
1,157552.0,191330.0,0.0405,0.8234568546490357,SDS,0.05,NaC,0.95,fine_fine,1,6.7953924690030965
1,167814.0,205246.0,0.0413,0.8176237295732925,SDS,0.05,NaC,0.95,fine_fine,2,8.772813954464098
1,170005.0,208609.0,0.0412,0.8149456638975308,SDS,0.05,NaC,0.95,fine_fine,3,9.86941569877211
1,173849.0,240084.0,0.0392,0.7241173922460472,SDS,0.05,NaC,0.95,fine_fine,4,11.185337791941723
1,186642.0,261001.0,0.0392,0.7151007084264045,SDS,0.05,NaC,0.95,fine_fine,5,12.501259885111342
1,195079.0,283047.0,0.0392,0.6892106257971291,SDS,0.05,NaC,0.95,fine_fine,6,13.817181978280956
1,204069.0,300497.0,0.0411,0.6791049494670496,SDS,0.05,NaC,0.95,fine_fine,7,15.133104071450571
1,212422.0,309407.0,0.041,0.6865455532680256,SDS,0.05,NaC,0.95,fine_fine,8,16.449026164620186
1,221042.0,322981.0,0.0397,0.68438081497054,SDS,0.05,NaC,0.95,fine_fine,9,19.738831397544224
1,214888.0,315097.0,0.0396,0.6819741222544169,SDS,0.05,NaC,0.95,fine_fine,10,25.48272175876161
1,193994.0,288568.0,0.0413,0.672264422943639,SDS,0.05,NaC,0.95,fine_fine,11,32.89805232924037
